Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
64155;Kansas City;MO;39.276828;-94.57344;-6;1;39.276828,-94.57344
64141;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64108;Kansas City;MO;39.084554;-94.58296;-6;1;39.084554,-94.58296
64167;Kansas City;MO;39.3173;-94.48655;-6;1;39.3173,-94.48655
64147;Kansas City;MO;38.849841;-94.54555;-6;1;38.849841,-94.54555
64113;Kansas City;MO;39.013638;-94.59471;-6;1;39.013638,-94.59471
64189;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64196;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
66112;Kansas City;KS;39.117009;-94.76614000000001;-6;1;39.117009,-94.76614
66104;Kansas City;KS;39.137003;-94.67203;-6;1;39.137003,-94.67203
64160;Kansas City;MO;39.282869;-94.408998;-6;1;39.282869,-94.408998
64153;Kansas City;MO;39.281602;-94.71439;-6;1;39.281602,-94.71439
64163;Kansas City;MO;39.31835;-94.67635;-6;1;39.31835,-94.67635
64183;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64193;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64132;Kansas City;MO;38.991406;-94.551;-6;1;38.991406,-94.551
64152;Kansas City;MO;39.216635;-94.69991;-6;1;39.216635,-94.69991
64944;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64168;Kansas City;MO;39.343225;-94.85161;-6;1;39.343225,-94.85161
64146;Kansas City;MO;38.899843;-94.57323;-6;1;38.899843,-94.57323
64185;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
66102;Kansas City;KS;39.112204;-94.66643;-6;1;39.112204,-94.66643
66119;Kansas City;KS;39.096551;-94.749538;-6;1;39.096551,-94.749538
64138;Kansas City;MO;38.969806;-94.47256;-6;1;38.969806,-94.47256
66110;Kansas City;KS;39.096551;-94.749538;-6;1;39.096551,-94.749538
64999;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64144;Kansas City;MO;39.282869;-94.408998;-6;1;39.282869,-94.408998
64105;Kansas City;MO;39.104204;-94.58868;-6;1;39.104204,-94.58868
64154;Kansas City;MO;39.261679;-94.63353;-6;1;39.261679,-94.63353
64131;Kansas City;MO;38.972473;-94.57656;-6;1;38.972473,-94.57656
66111;Kansas City;KS;39.076554;-94.79019;-6;1;39.076554,-94.79019
64148;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
64129;Kansas City;MO;39.051455;-94.4966;-6;1;39.051455,-94.4966
64156;Kansas City;MO;39.281486;-94.51296;-6;1;39.281486,-94.51296
64112;Kansas City;MO;39.037605;-94.59537;-6;1;39.037605,-94.59537
64184;Kansas City;MO;39.035038;-94.356728;-6;1;39.035038,-94.356728
