YearMonth,Imperial Terminal,Misc. Terminal,Terminal 1,Terminal 2,Terminal 3,Terminal 4,Terminal 5,Terminal 6,Terminal 7,Terminal 8,Tom Bradley International Terminal
01/2006,988,1441,791280,192663,241760,755657,263760,391585,472486,201659,2658
02/2006,366,397,697657,176067,230992,682038,240900,362349,450560,202398,2239
03/2006,410,1328,856349,209494,277716,816243,321102,427160,553393,245512,2350
04/2006,990,938,875124,203589,268930,821731,314232,435041,540275,220169,2021
05/2006,439,540,884616,206060,287649,837425,296732,438244,556902,231590,2944
06/2006,99,71,919558,221596,322403,865199,356866,471077,600812,234293,2824
07/2006,177,13,937554,241876,366490,917040,392018,535286,608563,234773,2791
08/2006,243,0,923237,233074,376896,881487,373108,513448,598796,225643,2560
09/2006,322,361,758885,188516,287139,755503,278455,407189,481679,225382,2990
10/2006,415,1016,789507,205266,288604,806419,309485,435599,515424,246295,0
11/2006,549,1262,825482,200662,296534,797601,307757,444333,494818,229504,165
12/2006,482,1356,833840,199676,307011,837066,313588,448658,516938,229184,0
01/2007,540,1262,773549,179627,278350,779946,288736,386264,487612,229900,0
02/2007,0,609,714287,165649,255882,706646,260397,355777,453630,220072,0
03/2007,174,1496,867686,192134,327910,845579,351624,429338,566083,249032,0
04/2007,259,729,859335,184774,324461,836427,336329,439196,544033,244645,0
05/2007,42,103,875004,210987,356076,834021,326662,448053,545259,240211,0
06/2007,154,13,944433,224784,418103,872989,392215,484189,538468,233950,0
07/2007,354,27,959954,242107,460430,916771,481796,522255,535677,219491,0
08/2007,0,2,979163,228275,460700,902767,416503,523800,562088,218411,0
09/2007,137,0,754007,189902,317657,759312,390693,389753,431932,203141,0
10/2007,75,613,785155,192091,322608,817329,421058,427949,489285,229792,0
11/2007,0,1096,795529,192170,307104,799056,409887,425714,487898,217155,0
12/2007,562,741,792441,197540,329234,840590,413109,452278,477983,211773,0
01/2008,885,1145,731495,190381,286588,756564,366126,387703,415015,211069,0
02/2008,66,566,734488,180467,280960,711956,334911,359691,403494,210616,408
03/2008,327,1119,855947,206376,337148,791833,400490,449497,480407,227020,426
04/2008,289,514,801709,187387,301452,779951,371263,442479,474666,212244,658
05/2008,0,195,858407,207374,359096,826640,368141,474834,491775,220686,644
06/2008,584,333,895926,220248,380948,829829,444286,502289,536566,223307,0
07/2008,637,155,902994,240825,410456,876162,423180,555198,558591,218711,0
08/2008,1172,0,895104,219070,401137,854159,426539,569465,542575,213700,0
09/2008,0,712,726724,182110,205043,692934,283928,471792,433296,196077,0
10/2008,0,144,797400,190408,188628,719289,320553,506479,465561,208808,11397
11/2008,0,653,720167,176986,176748,675477,319095,444490,407142,184446,9551
12/2008,0,731,785975,202407,294515,698369,339980,406822,447816,193824,10845
01/2009,0,1105,692106,170841,254445,676614,299032,333431,394333,183323,9153
02/2009,0,242,621238,149682,255417,621166,263732,297311,379186,166309,7318
03/2009,0,697,770330,177225,317497,737865,331741,352963,472448,208756,8257
04/2009,0,154,768101,189051,311466,755054,318918,290155,568579,200671,10823
05/2009,0,57,755532,201325,321853,765782,310390,353163,574792,203297,11013
06/2009,0,256,783817,231280,346785,788009,348654,425428,616078,221404,12516
07/2009,0,277,811221,55129,365063,836549,615071,527244,660011,228324,16110
08/2009,0,95,773842,52809,362446,822103,550560,514126,650957,223582,17466
09/2009,0,0,693080,30473,314702,707781,460814,370152,483225,208306,17131
10/2009,49,78,745261,30968,322057,767901,457537,393928,482313,276335,16879
11/2009,0,219,697153,28517,312324,704345,420690,366714,443728,258697,13189
12/2009,0,1276,736793,39496,335477,736349,446611,414293,464272,285644,14005
01/2010,0,2046,665920,30551,291434,691151,415252,424899,451278,261467,11077
02/2010,0,157,586855,22311,267103,602696,361572,321095,403655,257917,8565
03/2010,0,503,723449,25497,325238,753442,487485,406306,486946,313450,10643
04/2010,0,25,708863,29521,313493,759776,434969,408098,476837,296303,11960
05/2010,0,61,750788,32908,321711,774498,447125,499907,485938,299609,13926
06/2010,99,153,788966,43021,358636,795264,453187,572684,528864,332275,14611
07/2010,0,651,808716,58069,374261,831236,548323,627464,540616,348798,5740
08/2010,0,223,799707,58966,380389,822627,527670,612602,556557,337976,5242
09/2010,0,250,688791,40844,316133,704223,446599,481325,471783,278111,4633
10/2010,56,96,753716,42494,378170,756768,490372,452392,502863,301781,3969
11/2010,0,722,732897,44154,381820,701385,444282,439187,462168,273959,3327
12/2010,1273,3224,761076,59898,420048,726618,438325,567484,447416,294628,5016
01/2011,0,3523,703486,50612,367906,681232,420558,391488,420792,267622,3817
02/2011,0,189,628519,43559,354073,623877,440030,256559,392108,247661,3164
03/2011,0,303,771548,47545,436863,735257,441153,423304,467438,306607,4349
04/2011,0,119,748065,47319,430209,809625,620482,279245,447011,293624,5422
05/2011,137,177,795259,62977,479789,860072,602978,447690,461228,311523,5521
06/2011,0,99,804680,64289,531966,879723,513249,500892,495996,342088,6208
07/2011,0,7,840651,58661,562863,923198,535823,602180,512119,378546,5710
08/2011,0,22,821702,58045,559529,894796,574704,539685,497044,359710,6390
09/2011,0,12,708171,44547,477219,804682,437869,432211,412801,281498,6839
10/2011,0,107,753607,41464,483207,825392,477977,443560,427536,287311,5330
11/2011,0,272,734578,42332,476924,795527,463734,454724,399814,253013,5937
