Year_Month,ReportPeriod,Terminal 1,Terminal 2,Terminal 3,Terminal 4,Terminal 5,Terminal 6,Terminal 7,Terminal 8,Tom Bradley International Terminal,Imperial Terminal,Misc. Terminal
2006-01-01,01/01/2006 12:00:00 AM,791841,512481,329293,866261,321925,403342,552248,201659,774680,988.0,1441.0
2006-02-01,02/01/2006 12:00:00 AM,698232,447369,312110,779400,293138,372004,517324,202398,627417,366.0,397.0
2006-03-01,03/01/2006 12:00:00 AM,856951,513756,370790,928620,372989,438356,632425,245512,729157,410.0,1328.0
2006-04-01,04/01/2006 12:00:00 AM,875935,505654,361300,933525,371450,450721,613500,220169,753692,990.0,938.0
2006-05-01,05/01/2006 12:00:00 AM,885193,521099,365746,950611,355102,447440,626355,231590,793194,538.0,540.0
2006-06-01,06/01/2006 12:00:00 AM,920210,553995,395341,986180,414953,485851,682955,234293,836075,99.0,71.0
2006-07-01,07/01/2006 12:00:00 AM,938338,621802,448282,1036800,472151,557752,696785,234773,912846,177.0,17.0
2006-08-01,08/01/2006 12:00:00 AM,923931,610712,460648,990323,449284,530561,677899,225643,875999,243.0,0.0
2006-09-01,09/01/2006 12:00:00 AM,758999,510530,352219,858903,322808,415684,553013,225382,709762,322.0,361.0
2006-10-01,10/01/2006 12:00:00 AM,789837,522162,354415,909993,354894,442271,584924,246295,692199,415.0,1016.0
2006-11-01,11/01/2006 12:00:00 AM,826119,493196,370440,896668,359900,449799,559857,229504,637765,549.0,1262.0
2006-12-01,12/01/2006 12:00:00 AM,834560,526511,393321,944269,387695,456521,589599,229184,708831,482.0,1359.0
2007-01-01,01/01/2007 12:00:00 AM,773800,504020,359932,886026,368905,391770,562076,236748,720737,540.0,1262.0
2007-02-01,02/01/2007 12:00:00 AM,714572,445515,336606,798321,318979,360066,517911,226301,586413,0.0,609.0
2007-03-01,03/01/2007 12:00:00 AM,868044,518798,420472,951158,417837,434685,638664,256076,734410,174.0,1496.0
2007-04-01,04/01/2007 12:00:00 AM,859634,480312,413037,944115,410908,444497,607705,251458,760454,259.0,735.0
2007-05-01,05/01/2007 12:00:00 AM,875325,512060,441961,940907,394373,451836,607530,247612,785159,63.0,103.0
2007-06-01,06/01/2007 12:00:00 AM,944834,553734,496822,988009,476737,490342,606654,239910,829249,154.0,18.0
2007-07-01,07/01/2007 12:00:00 AM,960287,616883,550182,1034382,592248,533157,609150,226009,930168,354.0,29.0
2007-08-01,08/01/2007 12:00:00 AM,979465,596190,554121,1013748,499803,532482,635902,225804,902025,0.0,8.0
2007-09-01,09/01/2007 12:00:00 AM,754075,518985,379895,867029,444247,394568,491575,209029,746402,137.0,0.0
2007-10-01,10/01/2007 12:00:00 AM,785366,506578,391395,937147,478646,431791,550683,236343,751405,75.0,613.0
2007-11-01,11/01/2007 12:00:00 AM,795848,480938,377198,914614,496043,431012,563176,223418,689659,53.0,1096.0
2007-12-01,12/01/2007 12:00:00 AM,792705,517918,409017,960088,504488,459320,567712,218286,756820,623.0,741.0
2008-01-01,01/01/2008 12:00:00 AM,731730,511958,352376,876714,440707,395169,499767,217676,782688,885.0,1145.0
2008-02-01,02/01/2008 12:00:00 AM,734675,457477,346045,819814,393067,364850,470558,219310,644982,66.0,566.0
2008-03-01,03/01/2008 12:00:00 AM,856247,539376,414976,909417,477571,454486,556843,237554,785763,327.0,1119.0
2008-04-01,04/01/2008 12:00:00 AM,801983,498579,372612,898211,428693,447293,543393,221800,736443,314.0,514.0
2008-05-01,05/01/2008 12:00:00 AM,858743,511987,432766,950659,427104,479186,562683,230054,794610,0.0,195.0
2008-06-01,06/01/2008 12:00:00 AM,896232,538963,447185,955253,525656,507725,617526,232458,817958,584.0,333.0
2008-07-01,07/01/2008 12:00:00 AM,903307,585106,479667,1009193,513100,560905,636000,229308,874190,637.0,155.0
2008-08-01,08/01/2008 12:00:00 AM,895499,575014,473525,982971,502810,574562,619395,225166,865089,1172.0,82.0
2008-09-01,09/01/2008 12:00:00 AM,726724,488189,259858,790066,326295,476497,483196,205495,708009,0.0,715.0
2008-10-01,10/01/2008 12:00:00 AM,797400,495490,244078,795590,362092,511090,519900,218674,736840,0.0,144.0
2008-11-01,11/01/2008 12:00:00 AM,720167,451115,239659,768924,355686,449555,448730,190473,651336,0.0,723.0
2008-12-01,12/01/2008 12:00:00 AM,785975,500071,362029,767980,390675,411796,497788,201910,738633,0.0,731.0
2009-01-01,01/01/2009 12:00:00 AM,692106,457512,316282,748159,337680,338073,444033,191222,742211,0.0,1111.0
2009-02-01,02/01/2009 12:00:00 AM,621238,395614,315198,682804,291413,301862,415711,174190,593428,0.0,242.0
2009-03-01,03/01/2009 12:00:00 AM,770330,455940,387547,810152,365061,358207,517820,219339,686553,0.0,1146.0
2009-04-01,04/01/2009 12:00:00 AM,768101,470684,381299,828106,352046,294873,617279,209789,718854,0.0,437.0
2009-05-01,05/01/2009 12:00:00 AM,755532,469892,384039,831899,336713,357592,619366,213363,677403,0.0,57.0
2009-06-01,06/01/2009 12:00:00 AM,783817,519572,414966,858155,383718,431314,670315,232350,745907,0.0,377.0
2009-07-01,07/01/2009 12:00:00 AM,811221,390555,436385,910437,682490,554662,720870,240248,856784,481.0,277.0
2009-08-01,08/01/2009 12:00:00 AM,773842,385876,430912,886143,603846,543712,712646,236560,863810,0.0,95.0
2009-09-01,09/01/2009 12:00:00 AM,693080,312995,372791,771618,491892,396949,531184,217861,722487,0.0,2.0
2009-10-01,10/01/2009 12:00:00 AM,745261,309045,381081,841418,499485,421463,528685,286345,748722,49.0,78.0
2009-11-01,11/01/2009 12:00:00 AM,697153,300568,379318,759421,456774,394168,483237,268943,679893,0.0,234.0
2009-12-01,12/01/2009 12:00:00 AM,736793,381707,419514,791583,482227,442610,509777,297425,763880,0.0,1276.0
2010-01-01,01/01/2010 12:00:00 AM,665920,372100,375316,741495,473524,449617,491440,273983,764279,0.0,2046.0
2010-02-01,02/01/2010 12:00:00 AM,586855,296954,342743,649308,405124,346222,438678,267939,626326,0.0,170.0
2010-03-01,03/01/2010 12:00:00 AM,723449,349676,407586,806473,510830,434522,528026,326212,724743,0.0,509.0
2010-04-01,04/01/2010 12:00:00 AM,708863,346135,396341,803713,458682,432696,518541,309793,712141,0.0,41.0
2010-05-01,05/01/2010 12:00:00 AM,750788,363595,403735,824939,460197,526097,533700,313226,780257,0.0,62.0
2010-06-01,06/01/2010 12:00:00 AM,788966,413329,433746,858354,490975,580713,585762,344953,814344,99.0,153.0
2010-07-01,07/01/2010 12:00:00 AM,808716,478547,458058,894187,584022,638097,599688,362486,868409,0.0,651.0
2010-08-01,08/01/2010 12:00:00 AM,799707,491044,462540,882974,567427,623407,615462,351917,823132,0.0,236.0
2010-09-01,09/01/2010 12:00:00 AM,688791,423732,389803,757980,478449,489935,521871,287566,657009,0.0,259.0
2010-10-01,10/01/2010 12:00:00 AM,753716,423457,458735,816247,525532,462046,556010,311860,680330,56.0,96.0
2010-11-01,11/01/2010 12:00:00 AM,732897,390103,460761,757378,457479,477910,512096,284979,614750,0.0,729.0
