TypeDescription,Score,Grade,Latitude,Longitude
RETAIL WITH LIMITED SERVICE,98,,38.2243,-85.7769
FOOD SERVICE,85,C,38.1572,-85.7123
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2154,-85.8179
FOOD SERVICE (HOSPITAL / NURSING HOME,93,C,38.1837,-85.6068
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1445,-85.5837
FOOD SERVICE,96,A,38.2178,-85.7556
FOOD SERVICE,94,A,38.1448,-85.7772
FOOD SERVICE,99,A,38.224,-85.6915
FOOD SERVICE (HOSPITAL / NURSING HOME,99,A,38.2151,-85.7216
FOOD SERVICE (HOSPITAL / NURSING HOME,100,A,38.2151,-85.7226
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,A,38.2584,-85.6449
FOOD SERVICE,96,A,38.1925,-85.7837
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,A,38.1993,-85.6675
FOOD SERVICE,100,A,38.284,-85.6308
FOOD SERVICE,96,A,38.195,-85.6531
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2588,-85.7017
FOOD SERVICE,100,A,38.2557,-85.7513
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,100,A,38.2713,-85.7903
FOOD SERVICE,99,A,38.1954,-85.8109
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,100,A,0,0
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,99,A,38.2557,-85.7153
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,,38.1851,-85.6394
FOOD SERVICE,96,A,38.2075,-85.7885
FOOD SERVICE,100,A,38.1514,-85.4479
FOOD SERVICE,97,A,38.2528,-85.7573
FOOD SERVICE,93,C,38.2192,-85.6266
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.1993,-85.5908
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1993,-85.5908
"RETAIL-FOOD  10,000 SQ FT OR LESS",91,C,38.2061,-85.7659
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2088,0
FOOD SERVICE,94,A,38.2223,0
FOOD SERVICE,100,B,38.2176,-85.7077
FOOD SERVICE,95,A,38.2024,-85.834
FOOD SERVICE,95,A,38.205,-85.751
FOOD SERVICE,100,A,38.1293,-85.8735
FOOD SERVICE,,,38.142,-85.431
FOOD SERVICE,96,A,38.144,-85.4518
FOOD SERVICE,100,A,38.2266,-85.5771
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A,38.2488,-85.7801
FOOD SERVICE,98,A,38.3015,-85.5454
FOOD SERVICE,100,A,38.1266,-85.8374
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.145,-85.6892
FOOD SERVICE,97,A,38.2053,-85.7642
FOOD SERVICE,93,A,38.2503,-85.8287
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,96,A,38.1746,-85.88
FOOD SERVICE,98,A,38.2566,-85.7492
FOOD SERVICE,100,A,38.2557,-85.7153
FOOD SERVICE,99,A,38.2557,-85.7153
FOOD SERVICE,99,A,38.2557,-85.7153
FOOD SERVICE,99,A,38.2557,-85.7513
"RETAIL-FOOD  10,001 SQ FT OR OVER",96,,38.1002,-85.8712
FOOD SERVICE,99,A,38.2546,-85.7476
FOOD SERVICE,100,A,38.2574,-85.7601
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A,38.2531,-85.7407
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2531,-85.7407
FOOD SERVICE,100,A,38.2464,-85.6856
FOOD SERVICE,,,38.1819,-85.7674
FOOD SERVICE,97,,38.2042,-85.7718
"RETAIL-FOOD  10,000 SQ FT OR LESS",93,,38.22,-84.7779
PRE-PACKAGED RETAIL,96,,38.1962,-85.6035
FOOD SERVICE,100,A,38.1308,-85.8743
FOOD SERVICE,,,38.215,-85.743
FOOD SERVICE,,,38.2303,-85.7355
FOOD SERVICE,98,A,38.2474,-85.6186
FOOD SERVICE,100,A,38.1556,-85.7128
FOOD SERVICE,100,A,38.129,-85.5764
FOOD SERVICE,99,A,38.993,-85.5622
FOOD SERVICE,97,A,38.2324,-85.4237
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A,38.2247,-85.7428
FOOD SERVICE,100,A,38.2534,0
FOOD SERVICE,100,A,38.2787,-85.6975
FOOD SERVICE,100,A,38.2531,-85.6546
FOOD SERVICE,100,A,38.2597,-85.7079
FOOD SERVICE,95,A,38.2319,-85.7085
FOOD SERVICE,97,A,38.2153,-85.742
FOOD SERVICE,99,A,38.2265,-85.7342
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.1884,-85.6078
FOOD SERVICE,,,38.3109,-85.5667
PRE-PACKAGED RETAIL,99,,38.1185,-85.8433
FOOD SERVICE,100,,38.2609,-85.8068
FOOD SERVICE,98,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.2058,-85.7591
FOOD SERVICE,98,A,38.2058,-85.7591
FOOD SERVICE,99,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.1989,-85.7418
FOOD SERVICE,97,A,38.1952,-85.5668
FOOD SERVICE,100,A,38.1979,-85.5695
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.2205,-85.6439
FOOD SERVICE,100,A,38.3245,-85.5673
FOOD SERVICE,94,A,38.2492,-85.8087
FOOD SERVICE,100,A,38.2003,-85.7407
FOOD SERVICE,98,A,38.1989,-85.7418
FOOD SERVICE,76,C,38.2348,-85.7177
FOOD SERVICE,99,,38.3353,-85.6235
FOOD SERVICE,98,A,38.1419,-85.7738
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A,38.1708,-85.602
FOOD SERVICE,100,A,38.2573,-85.7613
FOOD SERVICE,96,A,38.256,-85.7503
FOOD SERVICE,99,A,38.2913,-85.5101
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.1574,-85.6972
FOOD SERVICE,100,A,38.2003,-85.7407
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2205,-85.6439
FOOD SERVICE,97,A,38.2144,-85.7509
FOOD SERVICE,100,A,38.2003,-85.7407
FOOD SERVICE,99,A,38.2003,-85.545
FOOD SERVICE,100,A,38.2003,-85.7407
FOOD SERVICE,100,A,38.2003,-86.545
FOOD SERVICE,100,A,38.1982,-85.5705
SCHOOL CAFETERIA OR FOOD SERVICE,97,A,38.1671,-85.5991
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.2839,-85.6193
SUPERMARKET WITH PROCESSING,92,,38.2451,-85.7648
FOOD SERVICE (HOSPITAL / NURSING HOME,,,38.226,-85.7275
FOOD SERVICE,,,38.205,-85.751
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A,38.208,-85.6382
FOOD SERVICE,,,38.14,-85.384
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1024,-85.6382
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.3243,-85.5653
FOOD SERVICE COMMISSARY,100,A,38.2523,-85.6517
FOOD SERVICE,99,A,38.2544,-85.7585
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A,38.2031,-85.8331
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.2031,-85.8331
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.187,-85.7025
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.187,-85.7025
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A,38.187,-85.7025
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.167,-85.6403
FOOD SERVICE,,,38.2566,-85.7171
FOOD SERVICE,99,A,38.2253,-85.6321
FOOD SERVICE,97,A,38.1725,-85.8254
FOOD SERVICE,97,A,38.7,-85.8849
FOOD SERVICE,98,A,38.2249,-85.7383
FOOD SERVICE,,,38.1199,-85.8438
FOOD SERVICE,,,38.1996,-85.671
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.2177,0
FOOD SERVICE,100,A,38.2519,-85.6514
FOOD SERVICE,100,B,38.1819,-85.7674
FOOD SERVICE,97,A,38.2452,-85.7648
FOOD SERVICE,87,C,38.2902,-85.5111
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,38.2491,-85.7848
FOOD SERVICE,100,,38.2176,-85.5597
FOOD SERVICE,99,A,38.252,-85.7545
FOOD SERVICE,100,A,38.252,-85.7545
FOOD SERVICE,100,A,38.252,-85.7545
FOOD SERVICE,,,38.188,-85.5185
FOOD SERVICE,100,,38.2785,-85.6381
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.2346,-85.5678
"RETAIL-FOOD  10,001 SQ FT OR OVER",,,38.2486,-85.797
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,,38.2101,-85.6393
FOOD SERVICE,95,A,38.2553,-85.7574
FOOD SERVICE,98,A,38.2531,-85.7386
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.2453,0
"RETAIL-FOOD  10,001 SQ FT OR OVER",99,,38.1461,-85.6731
"RETAIL-FOOD  10,000 SQ FT OR LESS",93,,38.1373,0
FOOD SERVICE,100,A,38.1453,-85.6263
FOOD SERVICE,98,A,38.1375,-85.6137
"RETAIL-FOOD  10,000 SQ FT OR LESS",87,C,38.1394,-85.7543
FOOD SERVICE,96,A,38.2041,-85.8316
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A,38.3123,-85.5693
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,,38.3123,-85.5693
FOOD SERVICE,100,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.2058,-85.7591
FOOD SERVICE,100,A,38.2042,-85.7569
FOOD SERVICE,,,38.1292,-85.7822
FOOD SERVICE,97,A,38.2137,-85.5878
FOOD SERVICE,100,A,38.2104,-85.5963
SUPERMARKET WITH PROCESSING,,,38.2451,-85.7648
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,,0,0
"RETAIL-FOOD  10,000 SQ FT OR LESS",92,,38.2227,-85.7519
FOOD SERVICE,100,A,38.2338,-85.6363
FOOD SERVICE,84,C,38.1384,-85.6771
FOOD SERVICE,98,A,38.1373,-85.6355
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,A,38.1746,-85.7127
FOOD SERVICE,99,A,38.2259,-85.7583
"RETAIL-FOOD  10,001 SQ FT OR OVER",99,,38.284,-85.6308
FOOD SERVICE,98,A,38.1327,-85.6139
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A,38.2498,-85.7674
FOOD SERVICE,96,A,38.1989,-85.8375
"RETAIL-FOOD  10,000 SQ FT OR LESS",91,A,38.2366,-85.7552
FOOD SERVICE,97,A,38.2207,-85.7615
FOOD SERVICE,100,A,38.155,-85.6592
CATERERS,100,A,38.2595,-85.7271
FOOD SERVICE,99,A,38.2131,-85.5882
SCHOOL CAFETERIA OR FOOD SERVICE,99,A,38.2191,-85.7265
FOOD SERVICE,95,A,38.1987,-85.7327
FOOD SERVICE,96,,38.1647,-85.6792
SCHOOL CAFETERIA OR FOOD SERVICE,100,A,38.1417,-85.6666
FOOD SERVICE,98,A,38.1549,-85.6998
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,95,A,38.2337,-85.7503
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A,38.1675,-85.8703
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,,38.791,-85.8827
FOOD SERVICE,97,A,38.2585,-85.6368
FOOD SERVICE,91,A,38.2405,-85.7959
FOOD SERVICE,93,A,38.2489,-85.7879
FOOD SERVICE,99,A,38.1871,-85.7085
RETAIL WITH LIMITED SERVICE,97,,38.233,-85.758
FOOD SERVICE,95,A,38.2,-85.8371
PRE-PACKAGED RETAIL,,,38.2469,-85.6105
FOOD SERVICE,,,38.2866,-85.5773
RETAIL WITH LIMITED SERVICE,100,,38.1495,-85.5885
FOOD SERVICE,88,,38.2332,-85.9731
FOOD SERVICE,99,A,38.2532,-85.738
FOOD SERVICE,100,A,38.2529,-85.7508
FOOD SERVICE,93,A,38.2535,-85.7388
