TypeDescription,Score,Grade
RETAIL WITH LIMITED SERVICE,98,
FOOD SERVICE,85,C
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,100,A
FOOD SERVICE (HOSPITAL / NURSING HOME,93,C
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
FOOD SERVICE,96,A
FOOD SERVICE,94,A
FOOD SERVICE,99,A
FOOD SERVICE (HOSPITAL / NURSING HOME,99,A
FOOD SERVICE (HOSPITAL / NURSING HOME,100,A
"RETAIL-FOOD  10,001 SQ FT OR OVER",100,A
FOOD SERVICE,96,A
"RETAIL-FOOD  10,001 SQ FT OR OVER",97,A
FOOD SERVICE,100,A
FOOD SERVICE,96,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,99,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,99,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,
FOOD SERVICE,96,A
FOOD SERVICE,100,A
FOOD SERVICE,97,A
FOOD SERVICE,93,C
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
"RETAIL-FOOD  10,000 SQ FT OR LESS",91,C
SCHOOL CAFETERIA OR FOOD SERVICE,100,A
FOOD SERVICE,94,A
FOOD SERVICE,100,B
FOOD SERVICE,95,A
FOOD SERVICE,95,A
FOOD SERVICE,100,A
FOOD SERVICE,,
FOOD SERVICE,96,A
FOOD SERVICE,100,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A
FOOD SERVICE,98,A
FOOD SERVICE,100,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,
FOOD SERVICE,97,A
FOOD SERVICE,93,A
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,96,A
FOOD SERVICE,98,A
FOOD SERVICE,100,A
FOOD SERVICE,99,A
FOOD SERVICE,99,A
FOOD SERVICE,99,A
"RETAIL-FOOD  10,001 SQ FT OR OVER",96,
FOOD SERVICE,99,A
FOOD SERVICE,100,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",99,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
FOOD SERVICE,100,A
FOOD SERVICE,,
FOOD SERVICE,97,
"RETAIL-FOOD  10,000 SQ FT OR LESS",93,
PRE-PACKAGED RETAIL,96,
FOOD SERVICE,100,A
FOOD SERVICE,,
FOOD SERVICE,,
FOOD SERVICE,98,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,99,A
FOOD SERVICE,97,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,95,A
FOOD SERVICE,97,A
FOOD SERVICE,99,A
"RETAIL-FOOD  10,001 SQ FT OR OVER",,
FOOD SERVICE,,
PRE-PACKAGED RETAIL,99,
FOOD SERVICE,100,
FOOD SERVICE,98,A
FOOD SERVICE,100,A
FOOD SERVICE,98,A
FOOD SERVICE,99,A
FOOD SERVICE,100,A
FOOD SERVICE,97,A
FOOD SERVICE,100,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,A
FOOD SERVICE,100,A
FOOD SERVICE,94,A
FOOD SERVICE,100,A
FOOD SERVICE,98,A
FOOD SERVICE,76,C
FOOD SERVICE,99,
FOOD SERVICE,98,A
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,99,A
FOOD SERVICE,100,A
FOOD SERVICE,96,A
FOOD SERVICE,99,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
FOOD SERVICE,100,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
FOOD SERVICE,97,A
FOOD SERVICE,100,A
FOOD SERVICE,99,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
SCHOOL CAFETERIA OR FOOD SERVICE,97,A
SCHOOL CAFETERIA OR FOOD SERVICE,100,A
SUPERMARKET WITH PROCESSING,92,
FOOD SERVICE (HOSPITAL / NURSING HOME,,
FOOD SERVICE,,
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,97,A
FOOD SERVICE,,
SCHOOL CAFETERIA OR FOOD SERVICE,100,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
FOOD SERVICE COMMISSARY,100,A
FOOD SERVICE,99,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",94,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
"RETAIL-FOOD  10,000 SQ FT OR LESS",97,A
SCHOOL CAFETERIA OR FOOD SERVICE,100,A
FOOD SERVICE,,
FOOD SERVICE,99,A
FOOD SERVICE,97,A
FOOD SERVICE,97,A
FOOD SERVICE,98,A
FOOD SERVICE,,
FOOD SERVICE,,
"RETAIL-FOOD  10,001 SQ FT OR OVER",,
FOOD SERVICE,100,A
FOOD SERVICE,100,B
FOOD SERVICE,97,A
FOOD SERVICE,87,C
"RETAIL-FOOD  10,000 SQ FT OR LESS",98,
FOOD SERVICE,100,
FOOD SERVICE,99,A
FOOD SERVICE,100,A
FOOD SERVICE,100,A
FOOD SERVICE,,
FOOD SERVICE,100,
FOOD SERVICE (DAY CARE / CHILD CARE CENTER,98,A
"RETAIL-FOOD  10,001 SQ FT OR OVER",,
"RETAIL-FOOD  10,000 SQ FT OR LESS",96,
FOOD SERVICE,95,A
FOOD SERVICE,98,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",100,
"RETAIL-FOOD  10,001 SQ FT OR OVER",99,
"RETAIL-FOOD  10,000 SQ FT OR LESS",93,
FOOD SERVICE,100,A
FOOD SERVICE,98,A
"RETAIL-FOOD  10,000 SQ FT OR LESS",87,C
FOOD SERVICE,96,A
