DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,2006/01/01,Imperial Terminal,Arrival,Domestic,8071108
05/01/2014 12:00:00 AM,2006/01/01,Terminal 1,Departure,International,1440222
05/01/2014 12:00:00 AM,2006/02/01,Imperial Terminal,Arrival,Domestic,7295752
05/01/2014 12:00:00 AM,2006/02/01,Terminal 1,Departure,International,1204192
05/01/2014 12:00:00 AM,2006/03/01,Imperial Terminal,Arrival,Domestic,8800941
05/01/2014 12:00:00 AM,2006/03/01,Terminal 1,Departure,International,1379237
05/01/2014 12:00:00 AM,2006/04/01,Imperial Terminal,Arrival,Domestic,8769924
05/01/2014 12:00:00 AM,2006/04/01,Terminal 1,Departure,International,1404834
05/01/2014 12:00:00 AM,2006/05/01,Imperial Terminal,Arrival,Domestic,8920110
05/01/2014 12:00:00 AM,2006/05/01,Imperial Terminal,Arrival,International,1434267
05/01/2014 12:00:00 AM,2006/06/01,Imperial Terminal,Arrival,Domestic,9504722
05/01/2014 12:00:00 AM,2006/06/01,Terminal 1,Departure,International,1515225
05/01/2014 12:00:00 AM,2006/07/01,Imperial Terminal,Arrival,Domestic,10156127
05/01/2014 12:00:00 AM,2006/07/01,Misc. Terminal,Arrival,International,1683142
05/01/2014 12:00:00 AM,2006/08/01,Imperial Terminal,Arrival,Domestic,9873492
05/01/2014 12:00:00 AM,2006/08/01,Terminal 1,Departure,International,1616751
05/01/2014 12:00:00 AM,2006/09/01,Imperial Terminal,Arrival,Domestic,8094082
05/01/2014 12:00:00 AM,2006/09/01,Terminal 1,Departure,International,1321562
05/01/2014 12:00:00 AM,2006/10/01,Imperial Terminal,Arrival,Domestic,8496036
05/01/2014 12:00:00 AM,2006/10/01,Terminal 1,Departure,International,1300391
05/01/2014 12:00:00 AM,2006/11/01,Imperial Terminal,Arrival,Domestic,8423177
05/01/2014 12:00:00 AM,2006/11/01,Terminal 1,Departure,International,1226392
05/01/2014 12:00:00 AM,2006/12/01,Imperial Terminal,Arrival,Domestic,8759649
05/01/2014 12:00:00 AM,2006/12/01,Misc. Terminal,Arrival,International,1384533
05/01/2014 12:00:00 AM,2007/01/01,Imperial Terminal,Arrival,Domestic,8211062
05/01/2014 12:00:00 AM,2007/01/01,Terminal 1,Departure,International,1400030
05/01/2014 12:00:00 AM,2007/02/01,Misc. Terminal,Arrival,Domestic,7437633
05/01/2014 12:00:00 AM,2007/02/01,Terminal 1,Departure,International,1172344
05/01/2014 12:00:00 AM,2007/03/01,Imperial Terminal,Arrival,Domestic,9072696
05/01/2014 12:00:00 AM,2007/03/01,Terminal 1,Departure,International,1410758
05/01/2014 12:00:00 AM,2007/04/01,Imperial Terminal,Arrival,Domestic,8943043
05/01/2014 12:00:00 AM,2007/04/01,Misc. Terminal,Arrival,International,1402926
05/01/2014 12:00:00 AM,2007/05/01,Imperial Terminal,Arrival,Domestic,6455479
05/01/2014 12:00:00 AM,2007/05/01,Imperial Terminal,Departure,International,4058316
05/01/2014 12:00:00 AM,2007/06/01,Imperial Terminal,Arrival,Domestic,9735602
05/01/2014 12:00:00 AM,2007/06/01,Misc. Terminal,Arrival,International,1517165
05/01/2014 12:00:00 AM,2007/07/01,Imperial Terminal,Arrival,Domestic,10391357
05/01/2014 12:00:00 AM,2007/07/01,Misc. Terminal,Arrival,International,1713987
05/01/2014 12:00:00 AM,2007/08/01,Misc. Terminal,Arrival,Domestic,9731960
05/01/2014 12:00:00 AM,2007/08/01,Misc. Terminal,Arrival,International,1647839
05/01/2014 12:00:00 AM,2007/09/01,Imperial Terminal,Arrival,Domestic,8242339
05/01/2014 12:00:00 AM,2007/09/01,Terminal 1,Departure,International,1369408
05/01/2014 12:00:00 AM,2007/10/01,Imperial Terminal,Arrival,Domestic,8755922
05/01/2014 12:00:00 AM,2007/10/01,Terminal 1,Departure,International,1384087
05/01/2014 12:00:00 AM,2007/11/01,Imperial Terminal,Departure,International,3840927
05/01/2014 12:00:00 AM,2007/11/01,Misc. Terminal,Arrival,Domestic,6104571
05/01/2014 12:00:00 AM,2007/12/01,Imperial Terminal,Arrival,Domestic,8903407
05/01/2014 12:00:00 AM,2007/12/01,Imperial Terminal,Arrival,International,1471467
05/01/2014 12:00:00 AM,2008/01/01,Imperial Terminal,Arrival,Domestic,8156901
05/01/2014 12:00:00 AM,2008/01/01,Terminal 1,Departure,International,1463844
05/01/2014 12:00:00 AM,2008/02/01,Imperial Terminal,Arrival,Domestic,7668967
05/01/2014 12:00:00 AM,2008/02/01,Terminal 1,Departure,International,1233787
05/01/2014 12:00:00 AM,2008/03/01,Imperial Terminal,Arrival,Domestic,8983942
05/01/2014 12:00:00 AM,2008/03/01,Terminal 1,Departure,International,1483089
05/01/2014 12:00:00 AM,2008/04/01,Imperial Terminal,Arrival,Domestic,8522158
05/01/2014 12:00:00 AM,2008/04/01,Imperial Terminal,Arrival,International,1377223
05/01/2014 12:00:00 AM,2008/05/01,Misc. Terminal,Arrival,Domestic,9055584
05/01/2014 12:00:00 AM,2008/05/01,Terminal 1,Departure,International,1440195
05/01/2014 12:00:00 AM,2008/06/01,Imperial Terminal,Arrival,Domestic,9573605
05/01/2014 12:00:00 AM,2008/06/01,Terminal 1,Departure,International,1505557
05/01/2014 12:00:00 AM,2008/07/01,Imperial Terminal,Arrival,Domestic,9977840
05/01/2014 12:00:00 AM,2008/07/01,Terminal 1,Departure,International,1604659
05/01/2014 12:00:00 AM,2008/08/01,Imperial Terminal,Arrival,Domestic,9837034
05/01/2014 12:00:00 AM,2008/08/01,Misc. Terminal,Departure,International,1592364
05/01/2014 12:00:00 AM,2008/09/01,Misc. Terminal,Arrival,Domestic,7656948
05/01/2014 12:00:00 AM,2008/09/01,Misc. Terminal,Arrival,International,1272428
05/01/2014 12:00:00 AM,2008/10/01,Misc. Terminal,Arrival,Domestic,8089821
05/01/2014 12:00:00 AM,2008/10/01,Terminal 2,Arrival,International,1272631
05/01/2014 12:00:00 AM,2008/11/01,Misc. Terminal,Arrival,Domestic,7390470
05/01/2014 12:00:00 AM,2008/11/01,Misc. Terminal,Arrival,International,1161613
05/01/2014 12:00:00 AM,2008/12/01,Misc. Terminal,Arrival,Domestic,8038141
05/01/2014 12:00:00 AM,2008/12/01,Terminal 2,Arrival,International,1276304
05/01/2014 12:00:00 AM,2009/01/01,Misc. Terminal,Arrival,Domestic,7281667
05/01/2014 12:00:00 AM,2009/01/01,Misc. Terminal,Arrival,International,1254006
05/01/2014 12:00:00 AM,2009/02/01,Misc. Terminal,Arrival,Domestic,6553059
05/01/2014 12:00:00 AM,2009/02/01,Terminal 2,Arrival,International,1030099
05/01/2014 12:00:00 AM,2009/03/01,Misc. Terminal,Arrival,Domestic,7949177
05/01/2014 12:00:00 AM,2009/03/01,Misc. Terminal,Arrival,International,1194316
05/01/2014 12:00:00 AM,2009/04/01,Misc. Terminal,Arrival,Domestic,8054286
05/01/2014 12:00:00 AM,2009/04/01,Misc. Terminal,Arrival,International,1228496
05/01/2014 12:00:00 AM,2009/05/01,Misc. Terminal,Arrival,Domestic,7768039
05/01/2014 12:00:00 AM,2009/05/01,Terminal 2,Arrival,International,1148652
05/01/2014 12:00:00 AM,2009/06/01,Misc. Terminal,Arrival,Domestic,8814462
05/01/2014 12:00:00 AM,2009/06/01,Misc. Terminal,Arrival,International,1266264
05/01/2014 12:00:00 AM,2009/07/01,Imperial Terminal,Arrival,International,7093340
05/01/2014 12:00:00 AM,2009/07/01,Misc. Terminal,Arrival,Domestic,4114999
05/01/2014 12:00:00 AM,2009/08/01,Misc. Terminal,Arrival,Domestic,9405333
05/01/2014 12:00:00 AM,2009/08/01,Terminal 2,Arrival,International,1469456
05/01/2014 12:00:00 AM,2009/09/01,Misc. Terminal,Arrival,International,3492134
05/01/2014 12:00:00 AM,2009/09/01,Terminal 1,Arrival,Domestic,5184486
05/01/2014 12:00:00 AM,2009/10/01,Imperial Terminal,Arrival,Domestic,8254811
05/01/2014 12:00:00 AM,2009/10/01,Terminal 2,Arrival,International,1268326
05/01/2014 12:00:00 AM,2009/11/01,Misc. Terminal,Arrival,Domestic,7665066
05/01/2014 12:00:00 AM,2009/11/01,Misc. Terminal,Arrival,International,1174133
05/01/2014 12:00:00 AM,2009/12/01,Misc. Terminal,Arrival,Domestic,8299732
05/01/2014 12:00:00 AM,2009/12/01,Terminal 2,Arrival,International,1352576
05/01/2014 12:00:00 AM,2010/01/01,Misc. Terminal,Arrival,Domestic,7852749
05/01/2014 12:00:00 AM,2010/01/01,Terminal 2,Arrival,International,1364645
05/01/2014 12:00:00 AM,2010/02/01,Misc. Terminal,Arrival,Domestic,6792088
05/01/2014 12:00:00 AM,2010/02/01,Misc. Terminal,Arrival,International,1128393
05/01/2014 12:00:00 AM,2010/03/01,Misc. Terminal,Arrival,Domestic,8344482
05/01/2014 12:00:00 AM,2010/03/01,Misc. Terminal,Arrival,International,1279067
05/01/2014 12:00:00 AM,2010/04/01,Misc. Terminal,Arrival,Domestic,8126766
05/01/2014 12:00:00 AM,2010/04/01,Misc. Terminal,Arrival,International,1247101
05/01/2014 12:00:00 AM,2010/05/01,Misc. Terminal,Arrival,Domestic,8583006
05/01/2014 12:00:00 AM,2010/05/01,Misc. Terminal,Arrival,International,1330125
05/01/2014 12:00:00 AM,2010/06/01,Imperial Terminal,Arrival,Domestic,9199055
05/01/2014 12:00:00 AM,2010/06/01,Terminal 2,Arrival,International,1423634
05/01/2014 12:00:00 AM,2010/07/01,Misc. Terminal,Arrival,Domestic,9836084
05/01/2014 12:00:00 AM,2010/07/01,Terminal 2,Arrival,International,1548987
05/01/2014 12:00:00 AM,2010/08/01,Misc. Terminal,Arrival,Domestic,9719582
05/01/2014 12:00:00 AM,2010/08/01,Misc. Terminal,Arrival,International,1515887
05/01/2014 12:00:00 AM,2010/09/01,Misc. Terminal,Arrival,Domestic,8127837
05/01/2014 12:00:00 AM,2010/09/01,Misc. Terminal,Arrival,International,1262703
05/01/2014 12:00:00 AM,2010/10/01,Imperial Terminal,Arrival,Domestic,8670660
05/01/2014 12:00:00 AM,2010/10/01,Terminal 2,Arrival,International,1305408
05/01/2014 12:00:00 AM,2010/11/01,Misc. Terminal,Arrival,Domestic,8172261
05/01/2014 12:00:00 AM,2010/11/01,Misc. Terminal,Arrival,International,1205181
05/01/2014 12:00:00 AM,2010/12/01,Imperial Terminal,Arrival,Domestic,8773488
05/01/2014 12:00:00 AM,2010/12/01,Misc. Terminal,Arrival,International,1324851
05/01/2014 12:00:00 AM,2011/01/01,Misc. Terminal,Arrival,Domestic,7970694
05/01/2014 12:00:00 AM,2011/01/01,Misc. Terminal,Arrival,International,1352145
05/01/2014 12:00:00 AM,2011/02/01,Misc. Terminal,Arrival,Domestic,7111086
05/01/2014 12:00:00 AM,2011/02/01,Misc. Terminal,Arrival,International,1131797
05/01/2014 12:00:00 AM,2011/03/01,Misc. Terminal,Arrival,Domestic,8585863
05/01/2014 12:00:00 AM,2011/03/01,Terminal 2,Arrival,International,1317432
05/01/2014 12:00:00 AM,2011/04/01,Misc. Terminal,Arrival,Domestic,8709218
05/01/2014 12:00:00 AM,2011/04/01,Misc. Terminal,Arrival,International,1347095
05/01/2014 12:00:00 AM,2011/05/01,Imperial Terminal,Arrival,Domestic,9504278
05/01/2014 12:00:00 AM,2011/05/01,Misc. Terminal,Arrival,International,1449713
05/01/2014 12:00:00 AM,2011/06/01,Misc. Terminal,Arrival,Domestic,9770807
05/01/2014 12:00:00 AM,2011/06/01,Misc. Terminal,Arrival,International,1492526
05/01/2014 12:00:00 AM,2011/07/01,Misc. Terminal,Departure,Domestic,10068919
05/01/2014 12:00:00 AM,2011/07/01,Terminal 2,Arrival,International,1651584
05/01/2014 12:00:00 AM,2011/08/01,Misc. Terminal,Arrival,Domestic,10230129
05/01/2014 12:00:00 AM,2011/08/01,Misc. Terminal,Arrival,International,1606897
05/01/2014 12:00:00 AM,2011/09/01,Misc. Terminal,Arrival,Domestic,8586157
05/01/2014 12:00:00 AM,2011/09/01,Misc. Terminal,Arrival,International,1374471
05/01/2014 12:00:00 AM,2011/10/01,Misc. Terminal,Arrival,Domestic,8869988
05/01/2014 12:00:00 AM,2011/10/01,Misc. Terminal,Arrival,International,1379113
05/01/2014 12:00:00 AM,2011/11/01,Misc. Terminal,Arrival,Domestic,8491689
05/01/2014 12:00:00 AM,2011/11/01,Misc. Terminal,Arrival,International,1238251
05/01/2014 12:00:00 AM,2011/12/01,Imperial Terminal,Arrival,Domestic,8665628
05/01/2014 12:00:00 AM,2011/12/01,Misc. Terminal,Arrival,International,1390300
05/01/2014 12:00:00 AM,2012/01/01,Imperial Terminal,Departure,Domestic,8413532
05/01/2014 12:00:00 AM,2012/01/01,Misc. Terminal,Arrival,International,1412393
05/01/2014 12:00:00 AM,2012/02/01,Imperial Terminal,Departure,International,3399177
05/01/2014 12:00:00 AM,2012/02/01,Misc. Terminal,Arrival,Domestic,5513443
05/01/2014 12:00:00 AM,2012/03/01,Misc. Terminal,Arrival,Domestic,9132919
05/01/2014 12:00:00 AM,2012/03/01,Misc. Terminal,Arrival,International,1371921
05/01/2014 12:00:00 AM,2012/04/01,Misc. Terminal,Arrival,Domestic,8943597
05/01/2014 12:00:00 AM,2012/04/01,Misc. Terminal,Arrival,International,1378620
05/01/2014 12:00:00 AM,2012/05/01,Misc. Terminal,Arrival,Domestic,9383753
05/01/2014 12:00:00 AM,2012/05/01,Terminal 2,Arrival,International,1441839
05/01/2014 12:00:00 AM,2012/06/01,Misc. Terminal,Arrival,Domestic,9921040
05/01/2014 12:00:00 AM,2012/06/01,Misc. Terminal,Arrival,International,1558532
05/01/2014 12:00:00 AM,2012/07/01,Misc. Terminal,Arrival,Domestic,7625130
05/01/2014 12:00:00 AM,2012/07/01,Misc. Terminal,Departure,International,4755432
05/01/2014 12:00:00 AM,2012/08/01,Misc. Terminal,Arrival,Domestic,10545169
05/01/2014 12:00:00 AM,2012/08/01,Misc. Terminal,Arrival,International,1641281
05/01/2014 12:00:00 AM,2012/09/01,Misc. Terminal,Arrival,Domestic,8688644
05/01/2014 12:00:00 AM,2012/09/01,Misc. Terminal,Arrival,International,1419569
05/01/2014 12:00:00 AM,2012/10/01,Misc. Terminal,Arrival,Domestic,8992890
05/01/2014 12:00:00 AM,2012/10/01,Misc. Terminal,Arrival,International,1389245
05/01/2014 12:00:00 AM,2012/11/01,Misc. Terminal,Arrival,Domestic,8554132
05/01/2014 12:00:00 AM,2012/11/01,Misc. Terminal,Arrival,International,1277063
05/01/2014 12:00:00 AM,2012/12/01,Imperial Terminal,Arrival,Domestic,9092189
05/01/2014 12:00:00 AM,2012/12/01,Misc. Terminal,Arrival,International,1414729
05/01/2014 12:00:00 AM,2013/01/01,Imperial Terminal,Departure,Domestic,8633471
05/01/2014 12:00:00 AM,2013/01/01,Misc. Terminal,Arrival,International,1419642
05/01/2014 12:00:00 AM,2013/02/01,Misc. Terminal,Arrival,Domestic,7649437
05/01/2014 12:00:00 AM,2013/02/01,Misc. Terminal,Arrival,International,1180594
05/01/2014 12:00:00 AM,2013/03/01,Imperial Terminal,Arrival,Domestic,9602707
05/01/2014 12:00:00 AM,2013/03/01,Terminal 2,Arrival,International,1408612
05/01/2014 12:00:00 AM,2013/04/01,Misc. Terminal,Arrival,Domestic,9087516
05/01/2014 12:00:00 AM,2013/04/01,Misc. Terminal,Arrival,International,1382810
05/01/2014 12:00:00 AM,2013/05/01,Misc. Terminal,Arrival,Domestic,9768152
05/01/2014 12:00:00 AM,2013/05/01,Misc. Terminal,Arrival,International,1503142
05/01/2014 12:00:00 AM,2013/06/01,Misc. Terminal,Arrival,Domestic,10454928
05/01/2014 12:00:00 AM,2013/06/01,Misc. Terminal,Arrival,International,1607009
05/01/2014 12:00:00 AM,2013/07/01,Misc. Terminal,Arrival,Domestic,10982726
05/01/2014 12:00:00 AM,2013/07/01,Misc. Terminal,Arrival,International,1779236
05/01/2014 12:00:00 AM,2013/08/01,Imperial Terminal,Arrival,Domestic,10815803
05/01/2014 12:00:00 AM,2013/08/01,Misc. Terminal,Arrival,International,1758383
05/01/2014 12:00:00 AM,2013/09/01,Imperial Terminal,Departure,Domestic,9048138
05/01/2014 12:00:00 AM,2013/09/01,Misc. Terminal,Arrival,International,1492826
05/01/2014 12:00:00 AM,2013/10/01,Misc. Terminal,Arrival,Domestic,9433097
05/01/2014 12:00:00 AM,2013/10/01,Misc. Terminal,Arrival,International,1469113
05/01/2014 12:00:00 AM,2013/11/01,Misc. Terminal,Arrival,Domestic,8631312
05/01/2014 12:00:00 AM,2013/11/01,Misc. Terminal,Arrival,International,1339933
05/01/2014 12:00:00 AM,2013/12/01,Misc. Terminal,Arrival,Domestic,9865159
05/01/2014 12:00:00 AM,2013/12/01,Misc. Terminal,Arrival,International,1510839
05/01/2014 12:00:00 AM,2014/01/01,Imperial Terminal,Arrival,Domestic,9218253
05/01/2014 12:00:00 AM,2014/01/01,Misc. Terminal,Arrival,International,1541947
05/01/2014 12:00:00 AM,2014/02/01,Misc. Terminal,Arrival,Domestic,8105792
05/01/2014 12:00:00 AM,2014/02/01,Misc. Terminal,Arrival,International,1282289
05/01/2014 12:00:00 AM,2014/03/01,Imperial Terminal,Arrival,Domestic,9982797
05/01/2014 12:00:00 AM,2014/03/01,Misc. Terminal,Arrival,International,1506667
07/18/2014 12:00:00 AM,2014/05/01,Terminal 3,Departure,International,4701646
07/18/2014 12:00:00 AM,2014/05/01,Terminal 4,Arrival,Domestic,7077725
07/18/2014 12:00:00 AM,2014/04/01,Misc. Terminal,Arrival,Domestic,9844814
07/18/2014 12:00:00 AM,2014/04/01,Misc. Terminal,Arrival,International,1529696
08/15/2014 09:39:18 AM,2014/06/01,Misc. Terminal,Arrival,Domestic,11138997
08/15/2014 09:39:18 AM,2014/06/01,Misc. Terminal,Arrival,International,1758197
09/15/2014 07:00:09 AM,2014/07/01,Misc. Terminal,Arrival,Domestic,11706571
09/15/2014 07:00:09 AM,2014/07/01,Misc. Terminal,Arrival,International,1875571
10/15/2014 08:00:09 AM,2014/08/01,Misc. Terminal,Arrival,Domestic,11431550
10/15/2014 08:00:09 AM,2014/08/01,Misc. Terminal,Arrival,International,1881827
11/15/2014 08:00:12 AM,2014/09/01,Misc. Terminal,Arrival,Domestic,9514587
11/15/2014 08:00:12 AM,2014/09/01,Misc. Terminal,Arrival,International,1537637
12/15/2014 08:00:10 AM,2014/10/01,Misc. Terminal,Arrival,Domestic,10087586
12/15/2014 08:00:10 AM,2014/10/01,Misc. Terminal,Arrival,International,1544581
01/15/2015 08:00:16 AM,2014/11/01,Imperial Terminal,Departure,International,4116854
01/15/2015 08:00:16 AM,2014/11/01,Misc. Terminal,Arrival,Domestic,6597255
02/15/2015 08:00:17 AM,2014/12/01,Misc. Terminal,Arrival,Domestic,10164276
02/15/2015 08:00:17 AM,2014/12/01,Terminal 2,Arrival,International,1582545
03/16/2015 08:39:41 AM,2015/01/01,Terminal 7,Arrival,Domestic,6292337
03/16/2015 08:39:41 AM,2015/01/01,Terminal 7,Arrival,International,4256648
04/15/2015 08:00:11 AM,2015/02/01,Terminal 6,Departure,International,3794932
04/15/2015 08:00:11 AM,2015/02/01,Terminal 5,Arrival,Domestic,5773245
05/15/2015 08:00:08 AM,2015/03/01,Terminal 8,Arrival,Domestic,9964819
05/15/2015 08:00:08 AM,2015/03/01,Terminal 2,Arrival,International,1588235
06/15/2015 08:00:11 AM,2015/04/01,Terminal 6,Departure,Domestic,9742434
06/15/2015 08:00:11 AM,2015/04/01,Terminal 2,Departure,International,1593110
07/15/2015 08:00:14 AM,2015/05/01,Misc. Terminal,Arrival,International,8042293
07/15/2015 08:00:14 AM,2015/05/01,Terminal 7,Arrival,Domestic,4622356
08/15/2015 08:00:09 AM,2015/06/01,Terminal 7,Departure,International,5301982
08/15/2015 08:00:09 AM,2015/06/01,Terminal 4,Arrival,Domestic,7850932
09/15/2015 08:00:15 AM,2015/07/01,Terminal 4,Arrival,Domestic,8459459
09/15/2015 08:00:15 AM,2015/07/01,Terminal 8,Departure,International,5674451
10/15/2015 08:00:09 AM,2015/08/01,Terminal 7,Departure,International,8490117
10/15/2015 08:00:09 AM,2015/08/01,Terminal 2,Departure,Domestic,5024078
11/15/2015 08:00:08 AM,2015/09/01,Terminal 4,Arrival,Domestic,6963650
11/15/2015 08:00:08 AM,2015/09/01,Terminal 8,Departure,International,4750388
12/15/2015 08:00:12 AM,2015/10/01,Terminal 5,Departure,Domestic,7464529
12/15/2015 08:00:12 AM,2015/10/01,Terminal 2,Arrival,International,4747977
01/15/2016 08:00:08 AM,2015/11/01,Terminal 5,Arrival,Domestic,7093383
01/15/2016 08:00:08 AM,2015/11/01,Terminal 6,Arrival,International,4571442
02/15/2016 08:00:12 AM,2015/12/01,Misc. Terminal,Arrival,Domestic,10595847
02/15/2016 08:00:12 AM,2015/12/01,Terminal 4,Arrival,International,1739163
03/15/2016 08:01:13 AM,2016/01/01,Terminal 8,Departure,International,7755238
03/15/2016 08:01:13 AM,2016/01/01,Terminal 2,Arrival,Domestic,4296107
04/15/2016 08:00:57 AM,2016/02/01,Terminal 7,Departure,International,4215064
04/15/2016 08:00:57 AM,2016/02/01,Terminal 5,Arrival,Domestic,6368270
05/15/2016 08:00:52 AM,2016/03/01,Terminal 7,Arrival,Domestic,7687620
05/15/2016 08:00:52 AM,2016/03/01,Misc. Terminal,Departure,International,5007470
06/15/2016 08:00:42 AM,2016/04/01,Terminal 4,Departure,International,7974736
06/15/2016 08:00:42 AM,2016/04/01,Terminal 5,Departure,Domestic,4583897
07/15/2016 08:00:28 AM,2016/05/01,Terminal 8,Departure,Domestic,8151429
07/15/2016 08:00:28 AM,2016/05/01,Terminal 5,Arrival,International,5181057
08/15/2016 08:00:42 AM,2016/06/01,Tom Bradley International Terminal,Arrival,Domestic,9095275
08/15/2016 08:00:42 AM,2016/06/01,Terminal 8,Departure,International,5847940
09/15/2016 08:00:58 AM,2016/07/01,Terminal 6,Departure,Domestic,9136506
09/15/2016 08:00:58 AM,2016/07/01,Terminal 4,Arrival,International,6255168
10/15/2016 08:00:31 AM,2016/08/01,Terminal 8,Departure,International,9814273
