DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,2006/01/01,Imperial Terminal,Arrival,Domestic,2425419
05/01/2014 12:00:00 AM,2006/01/01,Imperial Terminal,Departure,Domestic,2330740
05/01/2014 12:00:00 AM,2006/02/01,Imperial Terminal,Arrival,Domestic,2131317
05/01/2014 12:00:00 AM,2006/02/01,Imperial Terminal,Departure,Domestic,2118838
05/01/2014 12:00:00 AM,2006/03/01,Imperial Terminal,Arrival,Domestic,2541019
05/01/2014 12:00:00 AM,2006/03/01,Imperial Terminal,Departure,Domestic,2549275
05/01/2014 12:00:00 AM,2006/04/01,Imperial Terminal,Arrival,Domestic,2560167
05/01/2014 12:00:00 AM,2006/04/01,Imperial Terminal,Departure,Domestic,2527707
05/01/2014 12:00:00 AM,2006/05/01,Imperial Terminal,Arrival,Domestic,2594409
05/01/2014 12:00:00 AM,2006/05/01,Imperial Terminal,Departure,Domestic,2582999
05/01/2014 12:00:00 AM,2006/06/01,Imperial Terminal,Arrival,Domestic,2707790
05/01/2014 12:00:00 AM,2006/06/01,Imperial Terminal,Departure,Domestic,2802233
05/01/2014 12:00:00 AM,2006/07/01,Imperial Terminal,Arrival,Domestic,2991518
05/01/2014 12:00:00 AM,2006/07/01,Imperial Terminal,Departure,Domestic,2928205
05/01/2014 12:00:00 AM,2006/08/01,Imperial Terminal,Arrival,Domestic,2883465
05/01/2014 12:00:00 AM,2006/08/01,Imperial Terminal,Departure,Domestic,2861778
05/01/2014 12:00:00 AM,2006/09/01,Imperial Terminal,Arrival,Domestic,2368259
05/01/2014 12:00:00 AM,2006/09/01,Imperial Terminal,Departure,Domestic,2339724
05/01/2014 12:00:00 AM,2006/10/01,Imperial Terminal,Arrival,Domestic,2441325
05/01/2014 12:00:00 AM,2006/10/01,Imperial Terminal,Departure,Domestic,2457096
05/01/2014 12:00:00 AM,2006/11/01,Imperial Terminal,Arrival,Domestic,2411073
05/01/2014 12:00:00 AM,2006/11/01,Imperial Terminal,Departure,Domestic,2413986
05/01/2014 12:00:00 AM,2006/12/01,Imperial Terminal,Arrival,Domestic,2484966
05/01/2014 12:00:00 AM,2006/12/01,Imperial Terminal,Departure,Domestic,2587366
05/01/2014 12:00:00 AM,2007/01/01,Imperial Terminal,Arrival,Domestic,2447943
05/01/2014 12:00:00 AM,2007/01/01,Imperial Terminal,Departure,Domestic,2357873
05/01/2014 12:00:00 AM,2007/02/01,Misc. Terminal,Arrival,Domestic,2158758
05/01/2014 12:00:00 AM,2007/02/01,Misc. Terminal,Departure,Domestic,2146535
05/01/2014 12:00:00 AM,2007/03/01,Imperial Terminal,Arrival,Domestic,2602986
05/01/2014 12:00:00 AM,2007/03/01,Imperial Terminal,Departure,Domestic,2638828
05/01/2014 12:00:00 AM,2007/04/01,Imperial Terminal,Arrival,Domestic,2598787
05/01/2014 12:00:00 AM,2007/04/01,Imperial Terminal,Departure,Domestic,2574327
05/01/2014 12:00:00 AM,2007/05/01,Imperial Terminal,Arrival,Domestic,2619103
05/01/2014 12:00:00 AM,2007/05/01,Imperial Terminal,Departure,International,2637826
05/01/2014 12:00:00 AM,2007/06/01,Imperial Terminal,Arrival,Domestic,2766537
05/01/2014 12:00:00 AM,2007/06/01,Misc. Terminal,Departure,Domestic,2859926
05/01/2014 12:00:00 AM,2007/07/01,Imperial Terminal,Arrival,Domestic,3044778
05/01/2014 12:00:00 AM,2007/07/01,Imperial Terminal,Departure,Domestic,3008071
05/01/2014 12:00:00 AM,2007/08/01,Misc. Terminal,Arrival,Domestic,2971560
05/01/2014 12:00:00 AM,2007/08/01,Terminal 1,Departure,Domestic,2967988
05/01/2014 12:00:00 AM,2007/09/01,Imperial Terminal,Arrival,Domestic,2423296
05/01/2014 12:00:00 AM,2007/09/01,Imperial Terminal,Departure,Domestic,2382646
05/01/2014 12:00:00 AM,2007/10/01,Imperial Terminal,Arrival,Domestic,2532501
05/01/2014 12:00:00 AM,2007/10/01,Imperial Terminal,Departure,Domestic,2537541
05/01/2014 12:00:00 AM,2007/11/01,Imperial Terminal,Departure,International,2503534
05/01/2014 12:00:00 AM,2007/11/01,Misc. Terminal,Arrival,Domestic,2469521
05/01/2014 12:00:00 AM,2007/12/01,Imperial Terminal,Arrival,Domestic,2558552
05/01/2014 12:00:00 AM,2007/12/01,Imperial Terminal,Departure,Domestic,2629166
05/01/2014 12:00:00 AM,2008/01/01,Imperial Terminal,Arrival,Domestic,2457191
05/01/2014 12:00:00 AM,2008/01/01,Imperial Terminal,Departure,Domestic,2353624
05/01/2014 12:00:00 AM,2008/02/01,Imperial Terminal,Arrival,Domestic,2224522
05/01/2014 12:00:00 AM,2008/02/01,Imperial Terminal,Departure,Domestic,2226888
05/01/2014 12:00:00 AM,2008/03/01,Imperial Terminal,Arrival,Domestic,2604974
05/01/2014 12:00:00 AM,2008/03/01,Imperial Terminal,Departure,Domestic,2628705
05/01/2014 12:00:00 AM,2008/04/01,Imperial Terminal,Arrival,Domestic,2488818
05/01/2014 12:00:00 AM,2008/04/01,Imperial Terminal,Departure,Domestic,2461017
05/01/2014 12:00:00 AM,2008/05/01,Misc. Terminal,Arrival,Domestic,2613777
05/01/2014 12:00:00 AM,2008/05/01,Misc. Terminal,Departure,Domestic,2634210
05/01/2014 12:00:00 AM,2008/06/01,Imperial Terminal,Arrival,Domestic,2730924
05/01/2014 12:00:00 AM,2008/06/01,Imperial Terminal,Departure,Domestic,2808949
05/01/2014 12:00:00 AM,2008/07/01,Imperial Terminal,Arrival,Domestic,2897659
05/01/2014 12:00:00 AM,2008/07/01,Imperial Terminal,Departure,Domestic,2893909
05/01/2014 12:00:00 AM,2008/08/01,Imperial Terminal,Arrival,Domestic,2873080
05/01/2014 12:00:00 AM,2008/08/01,Imperial Terminal,Departure,Domestic,2842205
05/01/2014 12:00:00 AM,2008/09/01,Misc. Terminal,Arrival,Domestic,2245083
05/01/2014 12:00:00 AM,2008/09/01,Misc. Terminal,Departure,Domestic,2219961
05/01/2014 12:00:00 AM,2008/10/01,Misc. Terminal,Arrival,Domestic,2325932
05/01/2014 12:00:00 AM,2008/10/01,Misc. Terminal,Departure,Domestic,2355366
05/01/2014 12:00:00 AM,2008/11/01,Misc. Terminal,Arrival,Domestic,2124962
