2013-07-31 20:51:30+00:00,Data is a Game Changer #sports #analytics #bigdata #engagement #gamechangerIBM http://gag.gl/AGMvQ,"['Data', 'Game', 'Changer', '#sports', '#analytics', '#bigdata', '#engagement', '#gamechangerIBM', 'http://gag.gl/AGMvQ']"
2013-07-22 03:09:36+00:00,Finally getting around to trying HootSuite...do users have a browser preference?,"['Finally', 'getting', 'around', 'trying', 'HootSuite...do', 'user', 'browser', 'preference?']"
2013-07-20 13:25:46+00:00,"With Its Acquisition Of Locationary, Apple Zeros In On Maps, Big Data And Competing With Google http://techcrunch.com/2013/07/19/with-its-acquisition-of-locationary-apple-zeros-in-on-maps-big-data-and-competing-with-google/ via @techcrunch","['With', 'Its', 'Acquisition', 'Of', 'Locationary,', 'Apple', 'Zeros', 'In', 'On', 'Maps,', 'Big', 'Data', 'And', 'Competing', 'With', 'Google', 'http://techcrunch.com/2013/07/19/with-its-acquisition-of-locationary-apple-zeros-in-on-maps-big-data-and-competing-with-google/', 'via', '@techcrunch']"
2013-07-19 02:15:47+00:00,Yelp Acquires Online Reservation Service SeatMe | TechCrunch http://lnkd.in/vvP6wk,"['Yelp', 'Acquires', 'Online', 'Reservation', 'Service', 'SeatMe', '|', 'TechCrunch', 'http://lnkd.in/vvP6wk']"
2013-07-19 02:09:06+00:00,"Um, wow. ""ColAR Uses Augmented Reality To Bring Your Kid's Drawing To Life http://techcrunch.com/2013/07/17/colar-uses-augmented-reality-to-brings-your-kids-drawing-to-life/ via @techcrunch""","['Um,', 'wow.', '""ColAR', 'Uses', 'Augmented', 'Reality', 'To', 'Bring', 'Your', ""Kid's"", 'Drawing', 'To', 'Life', 'http://techcrunch.com/2013/07/17/colar-uses-augmented-reality-to-brings-your-kids-drawing-to-life/', 'via', '@techcrunch""']"
2013-07-18 17:01:25+00:00,Thanks @techguerilla @AmberCadabra @Renee_Hopkins #innochat,"['Thanks', '@techguerilla', '@AmberCadabra', '@Renee_Hopkins', '#innochat']"
2013-07-18 16:59:12+00:00,@AmberCadabra fair point. funny the discrepancy between how patents and ideas are treated #innochat,"['@AmberCadabra', 'fair', 'point.', 'funny', 'discrepancy', 'patent', 'idea', 'treated', '#innochat']"
2013-07-18 16:56:28+00:00,IMHO if innovation is critical to growth then idea mgmt should be more prominent in #socbiz platforms. Otherwise oppties wasted #innochat,"['IMHO', 'innovation', 'critical', 'growth', 'idea', 'mgmt', 'prominent', '#socbiz', 'platforms.', 'Otherwise', 'oppties', 'wasted', '#innochat']"
2013-07-18 16:41:12+00:00,Side note: not impressed with Twubs for Twitter chats #innochat,"['Side', 'note:', 'impressed', 'Twubs', 'Twitter', 'chat', '#innochat']"
2013-07-18 16:39:32+00:00,"A3: more willingness to openly innovate, co-create; shared risk, reward #innochat","['A3:', 'willingness', 'openly', 'innovate,', 'co-create;', 'shared', 'risk,', 'reward', '#innochat']"
2013-07-18 16:35:42+00:00,An effective #socbiz could turn an innovation from incremental to disruptive #innochat,"['An', 'effective', '#socbiz', 'could', 'turn', 'innovation', 'incremental', 'disruptive', '#innochat']"
2013-07-18 16:28:35+00:00,"@techguerilla A2: serendipity happens often via my activity stream - related projects, valuable content, expertise location #innochat","['@techguerilla', 'A2:', 'serendipity', 'happens', 'often', 'via', 'activity', 'stream', '-', 'related', 'projects,', 'valuable', 'content,', 'expertise', 'location', '#innochat']"
2013-07-18 16:26:59+00:00,"@techguerilla since you're being open and transparent, crowdsource ideas, hacks for new products, services, ways to save $#innochat","['@techguerilla', 'since', 'open', 'transparent,', 'crowdsource', 'ideas,', 'hack', 'new', 'products,', 'services,', 'way', 'save', '$#innochat']"
2013-07-18 16:22:17+00:00,Agree...news to many RT @AmberCadabra Innovation and social biz need to be symbiotic in today's companies. They drive each other. #innochat,"['Agree...news', 'many', 'RT', '@AmberCadabra', 'Innovation', 'social', 'biz', 'need', 'symbiotic', ""today's"", 'companies.', 'They', 'drive', 'other.', '#innochat']"
2013-07-18 16:14:51+00:00,"@AmberCadabra collaborative decision-making, forecasting too - use all ideas, insight from your ecosystem #innochat","['@AmberCadabra', 'collaborative', 'decision-making,', 'forecasting', '-', 'use', 'ideas,', 'insight', 'ecosystem', '#innochat']"
2013-07-18 16:11:27+00:00,"@techguerilla think this is where the concept of collective intelligence comes into play - optimize your resources, talent #innochat","['@techguerilla', 'think', 'concept', 'collective', 'intelligence', 'come', 'play', '-', 'optimize', 'resources,', 'talent', '#innochat']"
2013-07-18 04:40:22+00:00,@rachelhaot @SmarterPlanet @nycgov really impressive program (and presentation) - thanks for your time Rachel,"['@rachelhaot', '@SmarterPlanet', '@nycgov', 'really', 'impressive', 'program', '(and', 'presentation)', '-', 'thanks', 'time', 'Rachel']"
