name,category,price,weight,paid_disposal,free_disposal,technical_name
tv,electronics,164.09,9.5,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation","Samsung Electronics UN32M4500BFXZA 720P Smart LED TV, 32"" (2018)"
tv,electronics,1199,44.1,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Samsung QN55Q8FN FLAT 55” QLED 4K UHD 8 Series Smart TV 2018
tv,electronics,1896.99,97.4,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation","LG 86UM8070PUA 86"" 4K Ultra HD Smart LED TV (2019), Black"
tv,electronics,187.62,9.65,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Sceptre 32 inches 720p LED TV (2018)
tv,electronics,697.99,56.2,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Samsung UN65RU7100FXZA Flat 65-Inch 4K UHD 7 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model)
tv,electronics,147.92,9,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Samsung UN24H4000 24-Inch 720p LED TV (2014 Model)
tv,electronics,1049.99,54.7,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Samsung QN65Q6FN FLAT 65” QLED 4K UHD 6 Series Smart TV 2018
tv,electronics,1098,69,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Sony XBR65X900F 65-Inch 4K Ultra HD Smart LED TV with Alexa Compatibility
tv,electronics,898,48.5,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation","Sony X800G 65 Inch TV: 4K Ultra HD Smart LED TV with HDR and Alexa Compatibility - 2019 Model, 65-Inch "
tv,electronics,896.99,56.9,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation","LG 65SM8600PUA Alexa Built-in Nano 8 Series 65"" 4K Ultra HD Smart LED NanoCell TV (2019) "
tv,electronics,2500,58,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation","Samsung UN65NU8500FXZA Curved 65"" 4K UHD 8 Series Smart LED TV (2018) "
tv,electronics,1798,120,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation","Sony X940E 4K Ultra HD High Dynamic Range Smart Android TV (75"")"
tv,electronics,149.99,9.4,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",TCL 32S327 32-Inch 1080p Roku Smart LED TV (2018 Model)
tv,electronics,229.99,16.5,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",TCL 43S425 43 Inch 4K Ultra HD Smart Roku LED TV (2018)
tv,electronics,896.97,65,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Sony XBR65X850F 65-Inch 4K Ultra HD Smart LED TV
tv,electronics,998,41.88,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Sony X950G 55 Inch TV: 4K Ultra HD Smart LED TV with HDR and Alexa Compatibility - 2019 Model
tv,electronics,849.99,75,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",LG Electronics 70UK6570 70-Inch 4K Ultra HD Smart LED TV (2018 Model)
tv,electronics,555.99,22,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",LG Electronics 49LJ550M 49-Inch Class Full HD 1080p Smart LED TV 2018 Model
tv,electronics,540.37,47.3,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",TCL LE50FHDF3010TA 50-Inch 1080p 120Hz LED TV (2013 Model)
tv,electronics,734.99,16.8,"dumpster rental, hazardous waste facility, curbside collection","tech firm recycling program, donation",Samsung UN40H5003 40-Inch 1080p LED TV (2014 Model)
laptop,electronics,1072.99,5.58,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation",HP Omen Gaming Laptop Intel Core i7 8750H 1TB HD+256GB SSD NVIDIA GTX 1060 6GB
laptop,electronics,700,5.05,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","HP Pavilion X360 14-Inch Convertible Laptop, Intel Core I5-8265U Processor, 8 GB RAM, 1 TB Hard Drive & 128 GB Solid-State Drive, Windows 10 Home (14-cd1042nr, Mineral Silver)"
laptop,electronics,1596.99,2.95,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","LG Gram 17Z990-R.AAS9U1 Thin and Light Laptop, 17"" (2560 X 1600) IPS Display, Intel 8th Gen Core i7, 16GB RAM, 1TB (512GB x 2) Nvme SSD, Up to 19.5 Hour Battery, Thunderbolt 3, Dark Silver"
laptop,electronics,1474,2.95,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","LG gram Thin and Light Laptop - 17"" (2560 x 1600) IPS Display, Intel 8th Gen Core i7, 16GB RAM, 512GB SSD, up to 19.5 Hour Battery, Thunderbolt 3 - 17Z990-R.AAS8U1 (2019), Dark Silver"
laptop,electronics,829.95,2.91,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","Oemgenuine Lenovo ThinkPad T470s Laptop Computer 14 Inch FHD Display 1920x1080, Intel Dual Core i5-6300U, 20GB RAM, 256GB SSD (PCIe-NVMe), Fingerprint, W10P"
laptop,electronics,749.99,3.18,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","2019 Lenovo ThinkPad X260 12.5"" IPS Anti-Glare HD Business Laptop (Intel Dual Core i5-6200U, 16GB DDR4 Memory, 256GB SSD) WiFi AC, Bluetooth, Fingerprint, Backlit, Ethernet, Windows 10 Professional"
laptop,electronics,1147.52,2.1,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","LG gram Laptop - 13.3"" Full HD Display, Intel 8th Gen Core i7, 16GB RAM, 256GB SSD, 20.5 Hour Battery Life, Thunderbolt 3 - 13Z990-R.AAS7U1 (2019), Dark Silver"
laptop,electronics,250,2.6,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","2020 Lenovo 2-in-1 11.6"" Convertible Chromebook Touchscreen Laptop Computer/ Quad-Core MediaTek MT8173C (4C/ 2X A72 + 2X A53)/ 4GB Memory/ 32GB eMMC/ 802.11ac WiFi/ Bluetooth/ Type-C/ White/ Chrome OS"
laptop,electronics,771,4.68,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","2019 Lenovo Thinkpad E590 15.6"" HD Business Laptop (Intel Quad Core i5-8265U, 16GB DDR4 RAM, Toshiba 256GB PCIe NVMe SSD + 500GB HDD) Type-C, HDMI, Ethernet, Webcam, Windows 10 Pro"
laptop,electronics,1124,8.1,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","MSI GF65 Thin 9SE-013 15.6"" 120Hz Gaming Laptop Intel Core i7-9750H RTX2060 16GB 512GB Nvme SSD Win10Home"
laptop,electronics,866.91,5,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","New Apple MMGG2LL/A MacBook Air 13.3-Inch Laptop (1.6 GHz Intel Core i5, 8GB RAM, 256GB SSD, Mac OS X V10.11 El Capitan), Silver"
laptop,electronics,413.18,3.6,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","Lenovo Flex 14.0"" HD, Muti-Touch, 2-in-1 Laptop, Intel Core i3-8145U Processor,4GB RAM, 128GB SSD, HDMI, Windows 10 (Intel i3 Processor)"
laptop,electronics,1098.08,2.96,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","Apple MacBook Air Z0UU3LL/A Laptop (Mac OS High Sierra, 2.2GHz dual-core Intel Core i7, 13.3"" 4K UHD Screen, Storage: 128 GB, RAM: 8 GB) Silver "
laptop,electronics,1219.95,6.73,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","HP Envy 17t Premium 17.3 inch Touch Laptop (Intel 8th Gen i7 Quad Core, 16GB RAM, 1TB HDD + 512GB SSD, GeForce MX GPU, 17.3"" FHD (1920 x 1080) Touchscreen, DVD, Win 10 Home)"
laptop,electronics,1799,8.3,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","MSI P65 Creator-1084 15.6"" 4K UHD Display, Ultra-Thin and Light, RTX Studio Laptop, Intel Core i7-9750H, GeForce RTX 2060, 32GB DDR4, 1TB Teton Glacier SSD, Win10PRO, VR Ready"
laptop,electronics,692.49,7.55,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","MSI GF63 Thin 9SC-614 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1650, 8GB, 512GB NVMe SSD, Win10"
laptop,electronics,1999.11,5.49,"curbside collection, hazardous waste facility, dumpster rental","tech firm recycling program, donation","MSI GE63 Raider RGB-609 15.6"" Gaming Laptop, 144Hz Display, Intel Core i7-9750H, NVIDIA GeForce RTX2060, 16GB, 256GB NVMe SSD + 1TB HDD"
